央视,#genre#
CCTV-1,http://148.135.93.213/live.php?id=CCTV1
CCTV-2,http://148.135.93.213/live.php?id=CCTV2
CCTV-3,http://148.135.93.213/live.php?id=CCTV3
CCTV-4,http://148.135.93.213/live.php?id=CCTV4
CCTV-5,http://148.135.93.213/live.php?id=CCTV5
CCTV-5+,http://148.135.93.213/live.php?id=CCTV5p
CCTV-6,http://148.135.93.213/live.php?id=CCTV6
CCTV-7,http://148.135.93.213/live.php?id=CCTV7
CCTV-8,http://148.135.93.213/live.php?id=CCTV8
CCTV-9,http://148.135.93.213/live.php?id=CCTV9
CCTV-10,http://148.135.93.213/live.php?id=CCTV10
CCTV-11,http://148.135.93.213/live.php?id=CCTV11
CCTV-12,http://148.135.93.213/live.php?id=CCTV12
CCTV-13,http://148.135.93.213/live.php?id=CCTV13
CCTV-14,http://148.135.93.213/live.php?id=CCTV14
CCTV-15,http://148.135.93.213/live.php?id=CCTV15
CCTV-16,http://148.135.93.213/live.php?id=CCTV16
CCTV-17,http://148.135.93.213/live.php?id=CCTV17
家庭影院,http://148.135.93.213/live.php?id=CHC家庭影院
动作电影,http://148.135.93.213/live.php?id=CHC动作电影
影迷电影,http://148.135.93.213/live.php?id=CHC影迷电影

CCTV-1,http://yezilive.jxpan.vip:35455/mgtv/608807420.m3u8
CCTV-2,http://yezilive.jxpan.vip:35455/mgtv/631780532.m3u8
CCTV-3,http://yezilive.jxpan.vip:35455/mgtv/624878271.m3u8
CCTV-4,http://yezilive.jxpan.vip:35455/mgtv/631780421.m3u8
CCTV-5,http://yezilive.jxpan.vip:35455/mgtv/641886683.m3u8
CCTV-5+,http://yezilive.jxpan.vip:35455/mgtv/641886773.m3u8
CCTV-6,http://yezilive.jxpan.vip:35455/mgtv/624878396.m3u8
CCTV-7,http://yezilive.jxpan.vip:35455/mgtv/673168121.m3u8
CCTV-8,http://yezilive.jxpan.vip:35455/mgtv/624878356.m3u8
CCTV-9,http://yezilive.jxpan.vip:35455/mgtv/673168140.m3u8
CCTV-10,http://yezilive.jxpan.vip:35455/mgtv/624878405.m3u8
CCTV-11,http://yezilive.jxpan.vip:35455/mgtv/667987558.m3u8
CCTV-12,http://yezilive.jxpan.vip:35455/mgtv/673168185.m3u8
CCTV-13,http://yezilive.jxpan.vip:35455/mgtv/608807423.m3u8
CCTV-14,http://yezilive.jxpan.vip:35455/mgtv/624878440.m3u8
CCTV-15,http://yezilive.jxpan.vip:35455/mgtv/673168223.m3u8
CCTV-16,http://yezilive.jxpan.vip:35455/nptv/cctv16.m3u8
CCTV-17,http://yezilive.jxpan.vip:35455/mgtv/673168256.m3u8
第一剧场,http://yezilive.jxpan.vip:35455/nptv/dyjc.m3u8
风云剧场,http://yezilive.jxpan.vip:35455/nptv/fyjc.m3u8
怀旧剧场,http://yezilive.jxpan.vip:35455/nptv/hjjc.m3u8
影迷电影,http://yezilive.jxpan.vip:35455/mgtv/952383261.m3u8
动作电影,http://yezilive.jxpan.vip:35455/mgtv/644368714.m3u8
家庭影院,http://yezilive.jxpan.vip:35455/mgtv/644368373.m3u8
CCTV-4K,http://yezilive.jxpan.vip:35455/nptv/cctv4k.m3u8
CCTV-8K,http://yezilive.jxpan.vip:35455/nptv/cctv8k.m3u8

CCTV-1,http://goo.bkpcp.top/mg/cctv1
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-5,http://goo.bkpcp.top/mg/cctv5
CCTV-5+,http://goo.bkpcp.top/mg/cctv5p
CCTV-6,http://goo.bkpcp.top/mg/cctv6
CCTV-7,http://goo.bkpcp.top/mg/cctv7
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-9,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-16,http://goo.bkpcp.top/mg/cctv16
CCTV-17,http://goo.bkpcp.top/mg/cctv17

卫视,#genre#
北京卫视,http://yezilive.jxpan.vip:35455/nptv/beijing.m3u8
天津卫视,http://yezilive.jxpan.vip:35455/nptv/tianjing.m3u8
东方卫视,http://yezilive.jxpan.vip:35455/nptv/dongfang.m3u8
浙江卫视,http://yezilive.jxpan.vip:35455/nptv/zhejiang.m3u8
湖南卫视,http://yezilive.jxpan.vip:35455/nptv/hunan.m3u8
江苏卫视,http://yezilive.jxpan.vip:35455/nptv/jiangsu.m3u8
江西卫视,http://yezilive.jxpan.vip:35455/nptv/jiangxi.m3u8
广东卫视,http://yezilive.jxpan.vip:35455/nptv/guangdong.m3u8
深圳卫视,http://yezilive.jxpan.vip:35455/nptv/shenzheng.m3u8
广西卫视,http://yezilive.jxpan.vip:35455/nptv/guangxi.m3u8
东南卫视,http://yezilive.jxpan.vip:35455/nptv/dongnan.m3u8
海南卫视,http://yezilive.jxpan.vip:35455/nptv/hainan.m3u8
河北卫视,http://yezilive.jxpan.vip:35455/nptv/hebei.m3u8
河南卫视,http://yezilive.jxpan.vip:35455/nptv/henan.m3u8
山东卫视,http://yezilive.jxpan.vip:35455/nptv/shandong.m3u8
山西卫视,http://yezilive.jxpan.vip:35455/nptv/shanxi.m3u8
安徽卫视,http://yezilive.jxpan.vip:35455/nptv/anhui.m3u8
重庆卫视,http://yezilive.jxpan.vip:35455/nptv/chongqing.m3u8
