央视,#genre#
CCTV-1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV-2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV-3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV-5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV-5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV-6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV-7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV-8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV-9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV-10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV-11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV-12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV-13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV-14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV-15,http://120.76.248.139/live/bfgd/4200000133.m3u8
怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8

卫视,#genre#
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8
浙江卫视,http://120.76.248.139/live/bfgd/4200000094.m3u8
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8
河南卫视,http://120.76.248.139/live/bfgd/4200000339.m3u8
广西卫视,http://120.76.248.139/live/bfgd/4200000116.m3u8
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
陕西卫视,http://120.76.248.139/live/bfgd/4200000512.m3u8
甘肃卫视,http://120.76.248.139/live/bfgd/4200000119.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
黑龙江卫视,http://120.76.248.139/live/bfgd/4200000095.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
